Seed,Track_Name,Reset_Type,Brain_Type,Learning_Rate,Time
None,R,StopReset,QLearning,0.01,1488
None,R,StopReset,QLearning,0.01,1497
None,R,StopReset,QLearning,0.01,475
None,R,StopReset,QLearning,0.01,457
None,R,StopReset,QLearning,0.01,548
None,R,StopReset,QLearning,0.01,489
None,R,StopReset,QLearning,0.01,1697
None,R,StopReset,QLearning,0.01,534
None,R,StopReset,QLearning,0.01,673
None,R,StopReset,QLearning,0.01,792
None,R,StopReset,QLearning,0.01,1186
None,R,StopReset,QLearning,0.01,280
None,R,StopReset,QLearning,0.01,1476
None,R,StopReset,QLearning,0.01,829
None,R,StopReset,QLearning,0.01,294
None,R,StopReset,QLearning,0.01,327
None,R,StopReset,QLearning,0.01,270
None,R,StopReset,QLearning,0.01,140
None,R,StopReset,QLearning,0.01,478
None,R,StopReset,QLearning,0.01,333
None,R,StopReset,QLearning,0.01,261
None,R,StopReset,QLearning,0.01,201
None,R,StopReset,QLearning,0.01,1103
None,R,StopReset,QLearning,0.01,221
None,R,StopReset,QLearning,0.01,264
None,R,StopReset,QLearning,0.01,312
None,R,StopReset,QLearning,0.01,555
None,R,StopReset,QLearning,0.01,212
None,R,StopReset,QLearning,0.01,148
None,R,StopReset,QLearning,0.01,235
None,R,StopReset,QLearning,0.01,958
None,R,StopReset,QLearning,0.01,274
None,R,StopReset,QLearning,0.01,444
None,R,StopReset,QLearning,0.01,627
None,R,StopReset,QLearning,0.01,428
None,R,StopReset,QLearning,0.01,376
None,R,StopReset,QLearning,0.01,343
None,R,StopReset,QLearning,0.01,302
None,R,StopReset,QLearning,0.01,145
None,R,StopReset,QLearning,0.01,283
None,R,StopReset,QLearning,0.01,447
None,R,StopReset,QLearning,0.01,120
None,R,StopReset,QLearning,0.01,140
None,R,StopReset,QLearning,0.01,460
None,R,StopReset,QLearning,0.01,241
None,R,StopReset,QLearning,0.01,169
None,R,StopReset,QLearning,0.01,794
None,R,StopReset,QLearning,0.01,227
None,R,StopReset,QLearning,0.01,123
None,R,StopReset,QLearning,0.01,221
None,R,StopReset,QLearning,0.01,199
None,R,StopReset,QLearning,0.01,588
None,R,StopReset,QLearning,0.01,150
None,R,StopReset,QLearning,0.01,523
None,R,StopReset,QLearning,0.01,439
None,R,StopReset,QLearning,0.01,759
None,R,StopReset,QLearning,0.01,1315
None,R,StopReset,QLearning,0.01,11711
None,R,StopReset,QLearning,0.01,562
None,R,StopReset,QLearning,0.01,142
None,R,StopReset,QLearning,0.01,132
None,R,StopReset,QLearning,0.01,266
None,R,StopReset,QLearning,0.01,211
None,R,StopReset,QLearning,0.01,1097
None,R,StopReset,QLearning,0.01,1001
None,R,StopReset,QLearning,0.01,209
None,R,StopReset,QLearning,0.01,233
None,R,StopReset,QLearning,0.01,1394
None,R,StopReset,QLearning,0.01,279
None,R,StopReset,QLearning,0.01,639
None,R,StopReset,QLearning,0.01,425
None,R,StopReset,QLearning,0.01,2547
None,R,StopReset,QLearning,0.01,307
None,R,StopReset,QLearning,0.01,904
None,R,StopReset,QLearning,0.01,216
None,R,StopReset,QLearning,0.01,208
None,R,StopReset,QLearning,0.01,918
None,R,StopReset,QLearning,0.01,246
None,R,StopReset,QLearning,0.01,334
None,R,StopReset,QLearning,0.01,327
None,R,StopReset,QLearning,0.01,1519
None,R,StopReset,QLearning,0.01,420
None,R,StopReset,QLearning,0.01,236
None,R,StopReset,QLearning,0.01,707
None,R,StopReset,QLearning,0.01,157
None,R,StopReset,QLearning,0.01,244
None,R,StopReset,QLearning,0.01,341
None,R,StopReset,QLearning,0.01,355
None,R,StopReset,QLearning,0.01,898
None,R,StopReset,QLearning,0.01,479
None,R,StopReset,QLearning,0.01,137
None,R,StopReset,QLearning,0.01,303
None,R,StopReset,QLearning,0.01,844
None,R,StopReset,QLearning,0.01,1166
None,R,StopReset,QLearning,0.01,238
None,R,StopReset,QLearning,0.01,888
None,R,StopReset,QLearning,0.01,434
None,R,StopReset,QLearning,0.01,390
None,R,StopReset,QLearning,0.01,1617
None,R,StopReset,QLearning,0.01,388
